@ ccode	cname	superpwr	butterw	kende	ssm_is	ssm_es	ssis6074	sses6074	ssis7580	sses7580	ssal6080	ssal6074	ssal7580	poldem60	poldem65	civil73	polit73	civil79	polit79	fh73	fh75_80	dembin	area	defexd	defexdpc	encon	enconpc	gnppc	gdppc	impexppc	impexp	ecintdep	tvpc	szmil	szmilpc	popltn	larea	lpopltn	lszmil	lszmilpc	ltvpc	lecintd	limpexpc	limpexp	lencnpc	lgdppc	milwp70	popln70	ecnpc70	trade75	lmilwp70	lpopln70	lecnpc70 @
439	Upper_Volta	0	0	0	0	0	0	0	0	0	0	0	0	13.5	7.2	4	3	3	2	9	10	0	106	.	.	70	13	50	45	1207	6500	0.241	102	2	3	5384	2.025	3.731	0.301	0.477	2.009	-0.617	3.082	3.813	1.114	1.653	1.4	5384	13	30.5	0.1461	3.7311	1.1139
450	Liberia	0	0	0	0	0	0	0	0	0	0	0	0	47.2	45.6	6	6	4	6	4	5	0	43	3581	242	450	305	243	312	24626	36300	1.013	440	5	33	1474	1.633	3.168	0.699	1.519	2.643	0.006	4.391	4.56	2.484	2.494	5.9	1523	328	113.3	0.7709	3.1827	2.5159
452	Ghana	0	1	0	0	0	0	0	0	0	0	0	0	57.4	23.7	6	6	4	6	4	5	0	92	27057	309	1470	168	237	219	9668	84400	0.408	183	16	18	8729	1.964	3.941	1.204	1.255	2.262	-0.389	3.985	4.926	2.225	2.34	8.2	8628	170	26.7	0.9138	3.9359	2.2304
461	Togo	0	0	0	0	0	0	0	0	0	0	0	0	.	45.5	5	7	6	7	4	3.5	0	22	2499	126	120	65	140	133	6091	12000	0.435	0	2	10	1970	1.342	3.294	0.301	1	0	-0.361	3.785	4.079	1.813	2.124	1.9	1960	61	53.6	0.2788	3.2923	1.7853
471	Cameroon	0	0	0	0	0	0	0	0	0	0	0	0	73.5	56	4	6	5	6	6	5.5	0	183	.	.	530	92	180	163	8116	47400	0.451	0	3	5	5840	2.262	3.766	0.477	0.699	0	-0.346	3.909	4.676	1.964	2.212	2.4	5836	91	51.1	0.3802	3.7661	1.9590
475	Nigeria	0	1	0	0	0	0	0	0	0	0	0	0	86.5	49.5	4	6	3	5	6	7	0	357	297033	539	2490	45	81	80	4174	229900	0.515	136	131	23	55074	2.553	4.741	2.117	1.362	2.134	-0.288	3.621	5.362	1.653	1.903	6.9	55073	46	54.8	0.8388	4.7409	1.6628
482	Central_African_Rep	0	0	0	0	0	0	0	0	0	0	0	0	64.8	34.2	7	7	7	7	2	2	0	240	4981	309	100	61	140	131	4037	6500	0.288	0	1	6	1610	2.38	3.207	0	0.778	0	-0.54	3.606	3.813	1.785	2.117	2.3	1612	62	24.6	0.3617	3.2074	1.7924
483	Chad	0	1	1	0	0	0	0	0	0	0	0	0	57.8	47.6	7	6	6	6	3	3.5	0	496	.	.	90	24	80	68	2500	9100	0.313	0	3	8	3640	2.695	3.561	0.477	0.903	0	-0.505	3.398	3.959	1.38	1.833	3.4	3640	25	39.3	0.5315	3.5611	1.3979
490	Zaire_(Belgian_Congo)	0	4	6	0	0	0	0	0	0	0	0	0	50	38.5	6	7	6	7	3	3	0	905	89396	414	1790	83	83	73	5906	127400	0.712	32	38	17	21568	2.957	4.334	1.58	1.23	1.505	-0.148	3.771	5.105	1.919	1.863	3.9	21638	81	51.9	0.5911	4.3352	1.9085
520	Somalia	0	1	3	0	1	0	0	0	1	1	0	1	85.7	77	6	7	7	7	3	2.5	0	246	8235	295	100	38	69	65	2724	7600	0.395	0	12	43	2789	2.391	3.445	1.079	1.633	0	-0.404	3.435	3.881	1.58	1.813	13.9	2789	36	73.8	1.1430	3.4454	1.5563
530	Ethiopia	0	2	2	0	2	0	1	0	2	2	1	2	31	12.5	6	5	7	7	5	3.5	0	472	37102	148	790	32	67	63	1175	29400	0.175	31	45	17	25008	2.674	4.398	1.653	1.23	1.491	-0.756	3.07	4.468	1.505	1.799	3.4	24855	33	20.8	0.5315	4.3954	1.5185
560	South_Africa	0	1	4	0	0	0	0	0	0	0	0	0	64.7	58.9	5	4	6	5	7	6	0	471	280087	1300	63250	2937	780	759	26507	570700	0.34	0	16	7	21530	2.673	4.333	1.204	0.845	0	-0.469	4.423	5.756	3.468	2.88	3.4	21500	2939	37.5	0.5315	4.3324	3.4682
580	Madagascar	0	0	0	0	0	0	0	0	0	0	0	0	91.7	83	3	5	5	5	8	7	0	227	.	.	450	67	128	112	4666	31500	0.365	51	5	7	6750	2.356	3.829	0.699	0.845	1.708	-0.438	3.669	4.498	1.826	2.049	2.5	6932	65	38.4	0.3979	3.8409	1.8129
600	Morocco	0	1	4	0	1	0	0	0	1	1	0	1	40.6	32.2	4	5	4	3	7	8	0	172	83205	549	3050	201	216	190	7740	117200	0.358	1149	50	33	15142	2.236	4.18	1.699	1.519	3.06	-0.446	3.889	5.069	2.303	2.279	8.9	15126	205	52.3	0.9494	4.1797	2.3118
616	Tunisia	0	1	1	0	0	0	0	0	0	0	0	0	83.7	63.6	5	6	5	6	5	5	0	63	.	.	1320	257	281	250	9499	48800	0.338	992	21	40	5137	1.799	3.711	1.322	1.602	2.997	-0.471	3.978	4.688	2.41	2.398	9.7	5137	257	55.7	0.9868	3.7107	2.4099
620	Libya	0	0	2	1	0	0	0	1	0	1	0	1	31	34.4	6	7	6	6	3	3.5	0	679	301668	15565	1200	619	1770	2133	150670	292000	0.851	51	15	77	1938	2.832	3.287	1.176	1.886	1.708	-0.07	5.178	5.465	2.792	3.329	17.6	1938	578	76.9	1.2455	3.2874	2.7619
625	Sudan	0	2	0	0	0	0	0	0	0	0	0	0	25.2	37.9	6	6	5	5	4	5	0	967	39990	254	1860	118	121	112	3847	60400	0.318	286	27	17	15700	2.985	4.196	1.431	1.23	2.456	-0.498	3.585	4.781	2.072	2.049	3.1	15695	119	33.7	0.4914	4.1958	2.0755
630	Iran	0	3	2	1	0	0	0	1	0	1	0	1	34.9	45	6	5	5	6	5	5	0	636	523247	1788	25640	876	331	323	14632	428100	0.442	1821	161	55	29256	2.803	4.466	2.207	1.74	3.26	-0.355	4.165	5.632	2.943	2.509	17.0	28359	955	55.0	1.2304	4.4527	2.9800
640	Turkey	0	3	2	1	0	1	0	0	0	1	1	0	59.1	76.4	4	3	3	2	9	10	0	301	343175	974	16870	478	400	354	4209	148300	0.105	180	478	135	35232	2.479	4.547	2.679	2.13	2.255	-0.978	3.624	5.171	2.679	2.549	28.4	35232	480	16.8	1.4533	4.5469	2.6812
645	Iraq	0	4	3	2	0	1	0	1	0	2	1	1	15.5	11.4	7	7	6	7	2	2.5	0	168	387962	4109	5820	616	343	315	16970	160200	0.495	3707	95	100	9440	2.225	3.975	1.978	2	3.569	-0.306	4.23	5.205	2.79	2.498	19.9	9356	622	89.9	1.2989	3.9711	2.7938
651	United_Arab_Republic	0	6	3	3	0	3	0	0	0	3	3	0	37	38.7	6	6	5	5	4	5	0	386	1484075	4452	8760	263	210	182	4647	154900	0.221	1587	288	86	33329	2.587	4.523	2.459	1.934	3.201	-0.655	3.667	5.19	2.42	2.26	13.9	33329	265	54.0	1.1430	4.5228	2.4232
652	Syria	0	5	4	2	0	2	0	0	0	2	2	0	39.3	19.9	7	7	6	5	2	3.5	0	71	276717	4429	2850	456	270	243	8964	56000	0.332	1856	87	139	6247	1.851	3.796	1.94	2.143	3.269	-0.479	3.953	4.748	2.659	2.386	24.0	6247	456	48.7	1.3802	3.7957	2.6590
660	Lebanon	0	0	1	0	0	0	0	0	0	0	0	0	84	74	2	2	4	4	12	10	0	4	42737	1533	2000	719	668	599	27484	76600	0.411	9329	16	57	2787	0.602	3.445	1.204	1.756	3.97	-0.386	4.439	4.884	2.857	2.777	15.0	2469	810	52.3	1.1761	3.3925	2.9085
663	Jordan	0	4	3	2	0	2	0	0	0	2	2	0	31.9	30.8	6	6	6	6	4	4	0	38	95812	4149	680	295	331	248	9441	21800	0.285	1992	60	259	2309	1.58	3.363	1.778	2.413	3.299	-0.545	3.975	4.338	2.47	2.394	60.1	2280	298	71.3	1.7789	3.3579	2.4742
666	Israel	0	3	3	3	0	3	0	0	0	3	3	0	94.6	96.8	3	2	2	2	11	11.5	1	8	837395	28776	6220	2137	1585	1550	74226	216000	0.468	9381	292	1003	2910	0.903	3.464	2.465	3.001	3.972	-0.329	4.871	5.334	3.33	3.19	58.9	2958	2485	45.4	1.7701	3.4710	3.3953
670	Saudi_Arabia	0	1	3	1	0	1	0	0	0	1	1	0	12	9.7	6	6	6	6	4	4	0	830	392637	5072	6250	760	432	520	39457	305400	0.913	232	36	46	7740	2.919	3.889	1.556	1.663	2.365	-0.039	4.596	5.485	2.881	2.716	15.8	7740	808	101.9	1.1987	3.8887	2.9074
678	Yemen	0	3	3	0	0	0	0	0	0	0	0	0	11.9	6.5	4	4	5	6	8	6.5	0	75	.	.	70	13	80	73	610	3500	0.076	0	.	.	5733	1.875	3.758	.	.	0	-1.118	2.785	3.544	1.114	1.863	4.2	5767	12	25.2	0.6232	3.7609	1.0792
700	Afghanistan	0	0	1	1	0	0	0	1	0	1	0	1	14.4	23.2	5	4	7	7	7	4.5	0	250	21956	128	450	26	80	73	1158	19800	0.145	0	85	49	17087	2.398	4.233	1.929	1.69	0	-0.839	3.064	4.297	1.415	1.863	9.9	16978	29	27.8	0.9956	4.2299	1.4624
710	China	0	2	2	2	0	1	0	1	0	2	1	1	22.6	16.4	7	7	6	6	2	3	0	3691	.	.	404160	526	160	.	566	430000	0.035	46	2780	36	759619	3.567	5.881	3.444	1.556	1.663	-1.451	2.753	5.633	2.721	.	6.1	771840	507	.	0.7853	5.8875	2.7050
713	Taiwan	0	0	0	0	0	0	0	0	0	0	0	0	.	22.8	5	6	4	5	5	6	0	14	.	.	12980	925	390	329	22016	309000	0.565	3675	542	386	14035	1.146	4.147	2.734	2.587	3.565	-0.248	4.343	5.49	2.966	2.517	.	14035	.	.	.	4.1472	.
